"Label" "Region" "x" "y" "z"
"LH_VisCent_ExStr_1" 1 36.199604743083 54.7747035573123 -19.0454545454545
"LH_VisCent_ExStr_2" 2 26.7631954350927 61.6818830242511 -14.6847360912981
"LH_VisCent_ExStr_3" 3 36.0016920473773 67.8054145516074 -17.4230118443316
"LH_VisCent_ExStr_4" 4 26.092970521542 60.1961451247166 -8.1859410430839
"LH_VisCent_ExStr_5" 5 25.3413173652695 73.625748502994 -10.6601796407186
"LH_VisCent_ExStr_6" 6 44.4331210191083 79.8450106157112 -17.3014861995754
"LH_VisCent_ExStr_7" 7 26.492795389049 85.6484149855908 -19.5878962536023
"LH_VisCent_ExStr_8" 8 40.0340909090909 88.6164772727273 -12.46875
"LH_VisCent_ExStr_9" 9 13.029304029304 79.6117216117216 -16.1208791208791
"LH_VisCent_ExStr_10" 10 5.25233644859813 94.7219626168224 -15.7593457943925
"LH_VisCent_ExStr_11" 11 24.1665332265813 99.3250600480384 -7.91032826261009
"LH_VisCent_ExStr_12" 12 43.6251993620415 86.0127591706539 2.94098883572568
"LH_VisCent_ExStr_13" 13 2.95158286778399 87.0093109869646 -4.13966480446927
"LH_VisCent_ExStr_14" 14 33.5830618892508 90.6677524429967 6.39902280130293
"LH_VisCent_ExStr_15" 15 48.7666442501681 72.8345662407532 12.4478816408877
"LH_VisCent_ExStr_16" 16 5.15135135135135 97.1693693693694 -3.38558558558559
"LH_VisCent_ExStr_17" 17 40.3821138211382 81.4032520325203 12.1626016260163
"LH_VisCent_ExStr_18" 18 7.19480519480519 103.883116883117 5.51298701298701
"LH_VisCent_ExStr_19" 19 21.6383928571429 99.9910714285714 11.7723214285714
"LH_VisCent_ExStr_20" 20 27.5655172413793 89.3362068965517 12.6396551724138
"LH_VisCent_ExStr_21" 21 12.3242258652095 98.6102003642987 19.5428051001822
"LH_VisCent_ExStr_22" 22 41.6624649859944 81.796218487395 21.1372549019608
"LH_VisCent_ExStr_23" 23 26.0938271604938 91.8271604938272 22.9728395061728
"LH_VisCent_ExStr_24" 24 15.0497835497835 89.2402597402597 25.3614718614719
"LH_VisCent_ExStr_25" 25 27.0017452006981 82.5794066317627 19.1902268760908
"LH_VisCent_ExStr_26" 26 23.8527397260274 83.9486301369863 26.9143835616438
"LH_VisPeri_ExStrSup_1" 27 22.1138353765324 50.3712784588441 -7.18213660245184
"LH_VisPeri_ExStrSup_2" 28 9.82191780821918 72.5308219178082 -8.68664383561644
"LH_VisPeri_ExStrSup_3" 29 12.0743243243243 62.652027027027 -4.91441441441441
"LH_VisPeri_ExStrSup_4" 30 12.3030303030303 53.2457912457912 -4.62289562289562
"LH_VisPeri_ExStrSup_5" 31 13.99375 43.390625 -6.25
"LH_VisPeri_ExStrSup_6" 32 2.5181598062954 72.2808716707022 2.21065375302663
"LH_VisPeri_ExStrSup_7" 33 8.24460431654676 61.3597122302158 4.18705035971223
"LH_VisPeri_ExStrSup_8" 34 17.4532871972318 52.2110726643599 0.027681660899654
"LH_VisPeri_ExStrSup_9" 35 10.9195402298851 46.4137931034483 1.16091954022989
"LH_VisPeri_ExStrSup_10" 36 9.16161616161616 72.2929292929293 7.12878787878788
"LH_VisPeri_ExStrSup_11" 37 20.8878923766816 62.7488789237668 2.82959641255605
"LH_VisPeri_ExStrSup_12" 38 10.1592356687898 82.859872611465 4.28662420382166
"LH_VisPeri_ExStrSup_13" 39 19.7008547008547 54.974358974359 5.51282051282051
"LH_VisPeri_ExStrSup_14" 40 6.55206286836935 89.4420432220039 2.93320235756385
"LH_VisPeri_ExStrSup_15" 41 18.6652542372881 71.7923728813559 6.16525423728814
"LH_VisPeri_ExStrSup_16" 42 23.7352941176471 63.1213235294118 5.49264705882353
"LH_VisPeri_ExStrSup_17" 43 7.56166982922201 72.9696394686907 10.8899430740038
"LH_VisPeri_ExStrSup_18" 44 18.2 62.4666666666667 9.8
"LH_VisPeri_ExStrSup_19" 45 1.18471337579618 94.3821656050955 14.3248407643312
"LH_VisPeri_ExStrSup_20" 46 1.4963768115942 79.4311594202899 11.6739130434783
"LH_VisPeri_ExStrSup_21" 47 13.5945945945946 64.1689189189189 14.4087837837838
"LH_VisPeri_ExStrSup_22" 48 4.70103092783505 70.2268041237113 18.6185567010309
"LH_VisPeri_ExStrSup_23" 49 1.89240506329114 83.0400843881856 22.4662447257384
"LH_VisPeri_ExStrSup_24" 50 5.88932038834951 92.0097087378641 27.3184466019417
"LH_VisPeri_ExStrSup_25" 51 16.039755351682 72.0519877675841 20.9235474006116
"LH_VisPeri_ExStrSup_26" 52 7.85251215559157 76.9173419773096 27.3371150729335
"LH_VisPeri_ExStrSup_27" 53 3.16541353383459 84.6353383458647 35.8684210526316
"LH_VisPeri_ExStrSup_28" 54 15.3185689948893 88.5928449744463 37.175468483816
"LH_VisPeri_ExStrSup_29" 55 13.3925925925926 80.158024691358 38.1407407407407
"LH_VisPeri_ExStrSup_30" 56 14.1152815013405 80.0053619302949 49.3163538873995
"LH_SomMotA_1" 57 8.36079545454546 6.69602272727273 40.5369318181818
"LH_SomMotA_2" 58 55.3602150537634 14.4301075268817 47.4354838709677
"LH_SomMotA_3" 59 8.82063882063882 4.93120393120393 46.3538083538084
"LH_SomMotA_4" 60 52.2775590551181 24.753937007874 52.2775590551181
"LH_SomMotA_5" 61 43.7118644067797 12.6658595641646 49.9636803874092
"LH_SomMotA_6" 62 33.7157894736842 19.0947368421053 44.4105263157895
"LH_SomMotA_7" 63 4.43732970027248 9.43188010899182 50.0395095367847
